paper_id,claim_id,claim_type,claim_split_status,adversary_position,adversary_capabilities,preconditions,mechanism,interaction_surface,primary_system_failure,reported_impact,metric_definition,unit_denominator,evidence_locators,source_review_status,expert_decision
naik2026omni_leak,,attack_candidate,pending_claim_level_extraction,External content adversary without insider implementation knowledge.,Place indirect prompt injection in public data; wait for privileged user query; receive exfiltrated email.,Orchestrator delegates to distinct SQL/data and notification agents; poisoned record is retrieved; per-agent access controls allow split capabilities.,Indirect prompt injection followed by orchestrator-mediated delegated authority composition and exfiltration.,Public data; data-agent context; orchestrator planning; notification tool/email boundary.,Cross-principal confidentiality and delegation/authorization integrity failure.,Exact sensitive records delivered to attacker-specified email in synthetic enterprise workflow.,Strict exact-match end-to-end attack success plus benign task correctness.,"Workflow attack instances/queries; success requires correct sensitive content at correct attacker recipient, so partial or wrong-recipient cases are failures.",ArXiv v2 Abstract p. 1; Sec. 4.1 pp. 3-4 Figs. 2-3; Sec. 4.2 p. 4 Fig. 4; Sec. 5 pp. 4-7 Tables 1-5.,assistant_source_reviewed_pending_author_signoff,pending
zhao2026parasites,,attack_candidate,pending_claim_level_extraction,External adversary who plants content in a source later retrieved by a victim workflow.,"Publishes indirect prompts and relies on installed benign tools to ingest content, collect private data, and disclose it.",The host lets untrusted retrieved instructions influence later privileged calls and does not enforce least privilege across the tool chain.,"Parasitic ingestion, private-data collection, and disclosure through composition of legitimate tools.",External content; MCP servers and tools; cross-tool execution flow; host authorization.,F6 least-privilege and authority integrity failure.,F2 confidentiality loss through exfiltration.,Capability-gadget prevalence and separately measured end-to-end attack success.,"Unit: Tool, server, or end-to-end exploit chain.; Denominator: 12,230 tools and 1,360 servers for the census; separate trial denominators for demonstrations.","Abstract and attack workflow, PDF p. 1 onward; attack stages in Secs. 2 to 3; census methods and tables; result tables for 1,062 tools and 370 servers; final IEEE metadata record.",source_reviewed_pending_author_signoff,pending
dong2026pear,,attack_candidate,pending_claim_level_extraction,external or contextual injector targeting planner-facing or executor-facing input,insert role-specific malicious instructions and influence shared memory/context,"separable planner and executor roles, instrumentable memory, and outcome oracle",prompt injection corrupts plan formation or action execution depending on role position,planner input; planner-executor message; executor input; memory; tool execution,delegated plan and action integrity failure,role-dependent attack success and a utility-robustness trade-off,task utility and role-specific attack/robustness outcomes; exact paper terminology should be preserved,task-run under role/attack/memory condition,"Findings EACL Abstract, sections 3-4, Figure 1, main tables, pp. 4547-4567",assistant_source_reviewed_pending_author_signoff,pending
tapwal2026prism,,attack_candidate,pending_claim_level_extraction,External or contextual source inducing credential propagation; leakage can also be accidental.,Place or elicit credential fragments in shared context so downstream agents reproduce them under multiple pressure levels.,"Generated tokens, logits/entropy and 16 lexical/structural/information-theoretic/behavioral/contextual signals are observable during decoding; intervention can mask or stop generation.",Sequential token-level risk accumulation with green/yellow/red zones and pre-completion stopping/masking.,Shared context; downstream generation; token stream; inter-agent message boundary.,Cross-principal confidentiality failure through propagation amplification.,"On the authors’ 2,000-task benchmark: F1 0.832, precision 1.000, recall 0.712, 0.0% observed task-level leakage, and utility 0.893.","Detection precision/recall/F1, task-level leak rate, output utility, latency, and risk-warning timing.","2,000 tasks across 13 attack categories and three pressure levels; task-level leak rate is not token-level detection rate.","arXiv abstract lines for four-agent pipeline, 2,000 tasks, 13 categories, three pressure levels, all headline metrics; full paper Secs. 3–5 for 16-signal model and baselines.",assistant_source_reviewed_pending_author_signoff,pending
lee2026prompt_infection,,attack_candidate,pending_claim_level_extraction,"External content adversary placing one payload in an email, PDF, or webpage.",Indirectly hijack first reader; embed role-specific malicious subtasks/data; instruct each recipient to reproduce payload downstream.,Agents follow untrusted instructions and propagate text through global or predecessor-local histories; downstream role/tool capabilities are available.,Self-replicating LLM-to-LLM prompt injection with role-conditioned payload and data carriage.,External content; inter-agent messages; message history; retrieval/memory; role/tool boundaries.,Compromise propagation and containment failure.,"Population infection plus scenario-specific confidentiality, content-integrity, scam, malware, and action impacts.","Scenario-specific attack success, infected count/fraction over turns, time to full infection, and defense ASR.",Metrics change by experiment: workflow instructions/runs versus agents/population/turns. They must not be merged into one generic ASR.,ArXiv/Springer technical text Sec. 3 pp. 3-4 Fig. 1; Sec. 4.1 p. 5 Fig. 4; Sec. 4.2 pp. 6-7 Fig. 6; Sec. 6 pp. 8-9 Table 2/Fig. 7.,assistant_source_reviewed_pending_author_signoff,pending
darabi2026bioautonomic,,attack_candidate,pending_claim_level_extraction,compromised member agents in a decentralized ambient-agent population,manipulate local behavior and inter-agent control flow; produce anomalous contributions,decentralized peers exchange trust evidence through gossip; local monitors and federated adaptation remain available; enough honest evidence dominates,"compromised behavior propagates or influences peers; defense fuses local MAPE-K/DCA anomaly signals, probabilistic trust, gossip, federated learning, and encrypted aggregation",agent-local behavior; peer communication; distributed trust evidence; control flow,distributed collaboration integrity and resilience failure,"malicious-agent acceptance, control-flow hijacking, degraded collaboration, and loss of continued operation","malicious-agent identification, control-flow hijack rate, recovery/resilience, and collaborative performance; metric formulas require final PDF verification",agent/event/task-level denominators are not fully specified in the note; do not compare headline rates until tables are signed off,"Official AAAI abstract and metadata; repository note method pp.2-5 and evaluation pp.6-7, but exact table/figure locators require author signoff",assistant_source_reviewed_pending_author_signoff,pending
zheng2026byzantine_reliability,,attack_candidate,pending_claim_level_extraction,Byzantine or faulty member agents repeatedly supplying a prescribed incorrect candidate answer.,Send protocol-valid wrong answers through normal graph edges.,"Seven-node fixed graphs, trusted experiment controller and aggregation, and confidence probes used by CP-WBFT.",Faulty-answer propagation and confidence-weighted voting.,Member messages; topology; collective aggregation.,F4 collective task-decision integrity failure.,Wrong mathematical answer or unsafe classification.,Task accuracy and reported reliability accuracy.,Unit: Task instance under a fault configuration.; Denominator: GSM8K or XSTest examples in each experiment.,"Pilot experiment, PDF pp. 2 to 3, Table 1 and Fig. 2; datasets and metrics, PDF pp. 2 and 5; method, PDF pp. 3 to 5 and Fig. 3; experimental setting, PDF p. 5 and Fig. 2/Table 2; result tables, PDF pp. 5 to 7.",source_reviewed_pending_author_signoff,pending
jiang2026risklab,,attack_candidate,pending_claim_level_extraction,"scenario-dependent malicious, self-interested, or faulty member","configured through roles, incentives, protocols, topology, and environment conditions","controlled scenario oracle, full trajectory logging, and explicit experiment quintuple","scenario modules induce or reveal interaction-dependent collusion, resource overreach, semantic drift, or strategic misreporting",topology; protocol; incentives; agent roles; environment; task,"mixed collective integrity, resource control, and reliability failures",trajectory-grounded risk signals vary under independently configurable structural conditions,risk-specific trajectory-grounded measures plus task outcomes,scenario/trajectory/module dependent; no single universal denominator,"ACL demo Abstract, sections 2-4, Figure 1, pp. 167-177",assistant_source_reviewed_pending_author_signoff,pending
shi2026saiguard,,attack_candidate,pending_claim_level_extraction,malicious member agent sending harmful protocol-valid messages,transmit messages whose downstream state effects appear plausible,"defender observes graph, recent state, and candidate message; learned simulator approximates benign state transitions",counterfactual simulation predicts local/global state change and intercepts messages whose reconstruction deviates from benign dynamics,inter-agent messages; propagation paths; communication state,collective decision-integrity and propagation-containment failure,harmful state changes and degraded collective answers,"accuracy, ASR, precision, recall, F1, and cost; definitions are paper-specific",task/run and message-detection units; do not combine ASR with agent-fraction metrics,Repository note sections 3-4 pp.3-7 and section 5 pp.8-11; arXiv full text must be signed off for exact tables,assistant_source_reviewed_pending_author_signoff,pending
anbiaee2026protocols,,attack_candidate,pending_claim_level_extraction,"malicious agent, server, tool, intermediary, or external attacker depending on protocol lifecycle","spoof, tamper, replay, abuse discovery, escalate privilege, disclose data, or deny service",protocol specifications/implementations expose modeled lifecycle states; MCP case assumes multi-server resolver policies,"protocol lifecycle and trust-assumption weaknesses break identity, integrity, authorization, or availability",discovery; authentication; session establishment; messages; delegation; tools; update lifecycle,"protocol identity, authorization, integrity, confidentiality, and availability failure",qualitative twelve-risk matrix plus empirical wrong-provider tool execution in MCP composition,qualitative likelihood/impact/overall risk; case-study wrong-provider execution rate,protocol/risk item and MCP resolution trial; exact empirical denominator requires table-level signoff,arXiv Abstract; protocol architecture and comparison sections; twelve-risk tables; MCP measurement case study,assistant_source_reviewed_pending_author_signoff,pending
ahad2026sif,,attack_candidate,pending_claim_level_extraction,Malicious user submitting one crafted but superficially legitimate request.,Choose initial request only; no later interaction or direct component compromise.,Orchestrator autonomously decomposes work; local safety classifiers see subtasks but not the complete plan/data dependencies.,Semantic Intent Fragmentation across locally benign subtasks.,Orchestrator decomposition; local subtask guardrails; plan/data-flow boundary.,Compositional authorization and information-flow/action-integrity failure.,10 of 14 generated scenarios produced policy-violating plans while all component tasks passed local checks; defense detects all confirmed cases in the same small study.,"Scenario-level attack success, local-classifier pass rate, and defense false-positive/detection outcomes.",14 generated enterprise scenarios: 10/14 = 71.4%; six classifier families are not the denominator for attack success.,Published/arXiv Abstract p. 1; threat/model sections; evaluation result reporting 10/14; publisher metadata for Vol. 9 No. 1 pp. 229–237.,assistant_source_reviewed_pending_author_signoff,pending
feng2026sentinelnet,,attack_candidate,pending_claim_level_extraction,malicious participant agents in decentralized debate,send manipulative messages through legitimate peer channels,agents have persistent neighbor identities and local histories; contrastive training attacks represent deployment attacks; enough honest connectivity survives pruning,credit-based local detector ranks neighbors and removes bottom-k peers to suppress malicious communication,peer messages; local neighbor topology; member influence,collective decision-integrity failure,"malicious-agent influence, degraded group accuracy, and communication contamination","malicious-agent detection rate, task accuracy recovery, and rounds to detection","agent detection events and system task instances; near-100% detection is a highlighted setting, not universal",Official ACM abstract and pages 3135-3146; repository note method section 4 pp.4-7 and results section 5 pp.7-10,assistant_source_reviewed_pending_author_signoff,pending
wang2026shadows_code,,attack_candidate,pending_claim_level_extraction,Malicious user or compromised member/role agent.,"Mix malicious functionality into benign requirements or modify selected design, coding, or testing role profiles.",Role-separated software MAS; cross-stage artifacts are trusted by downstream agents; generated programs are run in a sandbox.,"Implicit malicious behavior injection through requirements or compromised role profiles, propagated across development stages.",User requirements; role prompts; shared code/design/test artifacts.,Compositional software action and artifact-integrity failure.,Executable software retains benign utility while implementing malicious operations.,"Benign utility, utility under attack, consistency, refusal rate, ASR, and defense-adjusted ASR/refusal.","Software requirement/task instances; ASR concerns malicious functionality in generated software, not compromised-agent count.","PDF Methodology pp. 3-5 and Fig. 2; Experiment p. 5; attack/defense results pp. 6-8, Figs. 4-5.",assistant_source_reviewed_pending_author_signoff,pending
ko2026social_dynamics,,attack_candidate,pending_claim_level_extraction,One or more malicious peer agents.,"Provide incorrect recommendations and manipulate coalition size, apparent expertise, message length/order, dominance, and rhetoric.",Representative-agent aggregation architecture; peers are presented as decision evidence; objective-answer tasks.,"Conformity pressure, expertise signaling, dominant-speaker effects, and rhetorical persuasion.",Peer-message content; group composition; aggregation context.,Collective decision-integrity failure.,Representative accuracy and willingness to retain the correct answer decline under stronger social pressure.,Representative-agent accuracy and decision-change/adoption rates.,Question instances under each controlled condition.,PDF study design Sec. 3 pp. 3-5; experiments Secs. 4-5 pp. 4-15 and main tables/figures; limitations section.,assistant_source_reviewed_pending_author_signoff,pending
kavathekar2026tamas,,attack_candidate,pending_claim_level_extraction,malicious user or external content source; scenario-dependent impersonator/tool attacker,"direct/indirect prompt injection, impersonation, information theft, malicious code execution, and denial of service through benchmark interfaces","AutoGen/CrewAI configurations, scenario tool environment, benchmark-defined attack access, and task evaluators","scenario-specific adversarial instructions exploit routing, authority, identity, and tool trust",user prompt; external content; identities; tool interface; inter-agent workflow,"workflow confidentiality, action integrity, and availability failure",attack success and benign task effectiveness vary materially by model and interaction configuration,"Attack Success Rate, Task Success Rate, and Effective Robustness Score combining resistance and effectiveness",300 adversarial instances and 100 harmless tasks across five domains/six attack types; ERS is benchmark-specific,"ACL Abstract, section 5/5.1, Table 3 and results tables, pp. 31238-31268",assistant_source_reviewed_pending_author_signoff,pending
xu2026trust_paradox,,attack_candidate,pending_claim_level_extraction,"Peer/requester agent operating through normal inter-agent channels; scenarios include ordinary, emergent, and overtly malicious requests.","Issue contextually plausible requests and exploit elevated trust; no weight, orchestration, or infrastructure compromise.",Parameterized trust changes disclosure behavior; Minimum Necessary Information labels are treated as the authorization reference.,Trust-conditioned over-exposure: increased trust weakens cross-role information gates and permits requests beyond the MNI baseline.,Inter-agent requests; trust policy; cross-role information boundary; optional guardian.,Cross-principal confidentiality and authorization-boundary failure.,Disclosure beyond the MNI reference and trust-sensitive authorization drift in synthetic scenario chains.,"Task success, Over-Exposure Rate (MNI boundary violations), and Authorization Drift (sensitivity/slope across trust levels).",Interaction-chain and disclosure-opportunity level as defined by the scenario/MNI labels; do not treat OER or AD as ordinary ASR.,ArXiv full text Sec. 3 pp. 3-4 Eqs. 2-4; Sec. 4 pp. 4-5 Tables I-III; Sec. 5 pp. 6-10 Figs. 4-9.,assistant_source_reviewed_pending_author_signoff,pending
weckbecker2026_thought_virus,,attack_candidate,pending_claim_level_extraction,Operator or prompt attacker controlling one member’s system prompt.,Seed a three-digit subliminal token preference; no weight access or verbatim payload forwarding.,Agents relay semantic summaries/responses through a chain; downstream models can acquire latent preference from outputs.,Subliminal prompting and semantic preference propagation without explicit malicious string repetition.,One member’s system prompt; ordinary inter-agent semantic messages; downstream behavioral distribution.,Compromise propagation/collective value or truthfulness integrity degradation.,Elevated target-concept preference over hops and reduced TruthfulQA accuracy/log probability for selected tokens.,"Target response rate, target log probability, fold increase, and TruthfulQA accuracy/log probability.",Agent-hop/question/model observations; fold change is not an infection rate and should not be compared to ASR.,ArXiv v1 Abstract p. 1; Sec. 3 pp. 4-5 Figs. 2-3; Sec. 4 pp. 5-8 Tables 1-2; discussion pp. 8-9.,assistant_source_reviewed_pending_author_signoff,pending
liu2026topology_memory,,attack_candidate,pending_claim_level_extraction,One malicious member agent targeting one private-memory holder.,"Participates in normal communication, solicits private data, observes topology-permitted messages, and accumulates information across rounds.","Static known graph, one attacker and one target, synchronous text communication, synthetic PII.",Repeated cooperative-looking solicitation and topology-mediated relay of private cues.,Private memory; inter-agent messages; topology; role placement.,F2 cross-principal confidentiality violation.,Recovery and diffusion of private PII by an unauthorized participant.,"Exact-match-plus-LLM-inference leakage rate, ever-leaked entities, and temporal diffusion.","Unit: PII entity and trace or configuration.; Denominator: Seeded protected PII entities or evaluated traces, as defined by each result.","Secs. 3.1 to 3.3, PDF pp. 3 to 6 and Fig. 1/Table 1 for state, roles, and six topologies; Sec. 4, PDF pp. 7 to 9, Tables 2 to 3 and Figs. 2 to 3 for leakage and temporal results; limitations, PDF p. 9.",source_reviewed_pending_author_signoff,pending
huang2026toposhield,,attack_candidate,pending_claim_level_extraction,malicious member agents injecting misinformation,send persuasive malicious messages along allowed edges,global temporal graph and messages are visible; defender can prune edges and isolate communities,"spatio-temporal GNN estimates node risk entropy and edge attack conductivity, followed by edge correction/pruning and community isolation",inter-agent messages; temporal graph; communities,propagation containment and collective decision-integrity failure,toxicity/malicious influence spreads and group utility degrades,"toxicity or attack impact, task success/utility, suppression efficiency, and scalability",task/run and graph condition; 58% reduction and >90% utility refer to highlighted GPT-4o setting,ACL Anthology abstract lines 58-61; metadata lines 62-99; repository note method pp.3-6 and results pp.7-10,assistant_source_reviewed_pending_author_signoff,pending
kong2026web_fraud,,attack_candidate,pending_claim_level_extraction,One low-privilege malicious member agent.,"Submit and advocate an attacker-controlled URL; choose homoglyph, subdomain, path, parameter, IP, and other structural representations; no architecture/defense knowledge assumed.",Attacker controls a domain and has an allowed recommendation channel; downstream agents/auditor use URL and context to decide.,"URL-structure deception propagated through recommendation, review, debate, or voting.",Inter-agent recommendation messages; URL representation; web/tool boundary; collective aggregation.,Collective recommendation and decision-integrity failure.,"Final auditor accepts/recommends a malicious destination; phishing/malware/prompt-injection consequences are potential, not directly executed.",ASR is fraction of repeated runs in which the final auditor does not classify the URL as high risk; ten repetitions per configuration.,"Run/configuration-level decisions, not agent or population compromise.",PDF Sec. 3.1 p. 14021 Fig. 1; Sec. 3.2 pp. 14022-14023 Table 2; Sec. 4.1 pp. 14023-14024 Fig. 3; Sec. 4.2 pp. 14024-14025 Fig. 4/Table 3.,assistant_source_reviewed_pending_author_signoff,pending
ren2026financial_fraud,,attack_candidate,pending_claim_level_extraction,Coalition of malicious member agents in a simulated social platform.,"Post, comment, privately message, coordinate, cultivate victims, and adapt to warnings/monitoring.",Simulator permits public/private communication and simulated transfers; malicious agents receive explicit fraud goals.,Coordinated social persuasion and coalition reinforcement across the fraud lifecycle.,Public posts/comments; private messages; membership; transfer decisions.,Collective manipulation and decision-integrity failure with simulated financial impact.,"Victim engagement, migration to private conversation, and simulated transfers.","Separate population-level fraud success, conversation-level success, transfer/stage conversion, and collaboration-failure metrics.","Populations, conversations, agents, or stage opportunities depending on metric; these must not be collapsed.",Full text Sec. 3 pp. 3-5 and Fig. 2; Sec. 3.3 p. 5; Sec. 4.1 p. 6; Sec. 4.3 p. 8 Table 2; Sec. 5 pp. 11-13 Tables 9-10.,assistant_source_reviewed_pending_author_signoff,pending
kraidia2026collaboration_fails,,attack_candidate,pending_claim_level_extraction,Malicious member inside an otherwise cooperative debate group.,"Read full debate history; promote a designated target; generate multi-layer arguments, rebuttals, fused narratives, Best-of-N candidates, and RAG-supported rhetoric.",All participants consume a shared transcript; a final decision is produced by debate/majority; the controlled evaluation assigns a wrong target for reproducible measurement.,"Inference-time adaptive persuasion and contextual accumulation, optionally strengthened by RAG and Best-of-N selection.",Peer messages; shared debate transcript; majority-vote aggregation.,Collective decision-integrity failure.,Reduced group answer accuracy and increased agreement with the attacker-selected wrong answer; no real-world downstream action is executed.,Two-part outcome: drop in final group accuracy and rise in the fraction of agents agreeing with the adversarial target; paper also reports setting-specific accuracy/consensus changes.,"Question/debate-instance level for final accuracy plus agent-within-round agreement fractions; the headline 10–40% and >30% are ranges across evaluated settings, not one universal effect.",Publisher HTML: abstract and Threat model & Attack design; paper pp. 4-5 Fig. 1/Algorithm 1; pp. 10-11 setup/metrics; pp. 14-16 Figs. 11-13 for mitigation.,assistant_source_reviewed_pending_author_signoff,pending
zhang2026embedding_defenses,,attack_candidate,pending_claim_level_extraction,One compromised member agent.,Generate protocol-valid misinformation and adapt wording to mimic benign embeddings or disperse benign messages; cannot alter defense code.,Embedding-based pruning/weighting; generation-time token confidence available for proposed defense.,"Slow Drift, Benign Wrapper, and Chaos Seeding evade text-embedding separation assumptions.",Inter-agent messages; graph anomaly detector; aggregation.,Collective decision integrity and malicious-member attribution failure.,Embedding defenses retain malicious messages and group accuracy degrades; confidence filtering improves reported robustness.,"Task accuracy/exact match, ASR, embedding distances, malicious-agent AUROC, signal half-life, and area under AUROC-by-round.",Question/task instances for accuracy/ASR and agent/message labels for AUROC; signal persistence is round-indexed.,Full text Sec. 5 pp. 4-5 Fig. 2; Sec. 6 pp. 5-6; Sec. 7.1 p. 6; Sec. 7.2 pp. 6-7 Tables 1/3; Sec. 8 pp. 7-8 Tables 4-5.,assistant_source_reviewed_pending_author_signoff,pending
huang2026whispering_agents,,attack_candidate,pending_claim_level_extraction,Cooperating sender and receiver endpoints facing a passive traffic observer or warden.,"Choose storage, timing, and behavioral events and share protocol state or keys.","Shared keys or protocol state, available channel, and a passive observer without endpoint compromise.","Pi-CCAP encodes encrypted payload bits across storage, timing, and behavioral event dimensions.",Message content; event timing; behavioral metadata; global communication trace.,"From a defender view, oversight or monitorability integrity. From a legitimate-user view, communication privacy is the protected property.",Potential covert coordination. The construction itself is dual-use.,"Effective bits per round, total capacity, bit error or robustness, statistical AUC, and LLM-warden detection outcomes.","Unit: Communication round, bit, or dialogue.; Denominator: Rounds or dialogue instances, depending on metric.","Covert Event Channel Sec., PDF pp. 3 to 4 and Fig. 2; protocol design, PDF pp. 4 to 5 and Algorithm 1; capacity and robustness, PDF pp. 6 to 7 and Tables 1 to 2; invisibility evaluation, PDF pp. 7 to 8 and Fig. 3/Table 3; limitations, PDF p. 8.",source_reviewed_pending_author_signoff,pending
xiao2026sgoatmas,,attack_candidate,pending_claim_level_extraction,One malicious member at a selectable workflow position.,"Observe local workflow context, reconstruct/score structural attack edges, send protocol-valid crafted payload.",An honest downstream agent relays/acts on the malicious reasoning; detector attributes suspicious output locally.,SGoatMAS structural reconnaissance and VRR-guided scapegoating/systemic chain poisoning.,Inter-agent reasoning edges; role position; aggregation path; attribution monitor.,Collective decision integrity and accountability/attribution failure.,Reduced final accuracy with lower detector attribution to attacker and higher apparent responsibility assigned to honest downstream agent.,"Final system Accuracy, Detection Rate, Scapegoat Accuracy, and Vulnerability-to-Risk Ratio.",Task instances and detector decisions; Detection Rate is detector-specific and is not proof of general undetectability.,Workshop PDF Sec. 4 pp. 4-6 Fig. 1; Sec. 5 pp. 7-9 Tables 1-2.,assistant_source_reviewed_pending_author_signoff,pending
