global_priority,review_track,paper_id,canonical_title,canonical_authors,canonical_year,canonical_venue,doi,source_url,version_status,identity_verdict,current_scope,recommended_scope,scope_rationale,current_category,recommended_category,secondary_roles,multiagent_verdict,attack_evidence_status,attack_role,attack_instance_coding_required,adversary_position,adversary_capabilities,preconditions,mechanism,attack_surfaces,primary_system_failure,reported_impact,agent_count_or_configuration,topology,communication,baselines,metric_definition,unit_denominator,system_level_impact_verified,evidence_locators,author_claim_vs_corpus_interpretation,limitations_maturity,key_corrections,review_outcome,promote_to_load_bearing,review_status
95,cross_category,mateotorrejon2026gammaf,GAMMAF: A Common Framework for Graph-Based Anomaly Monitoring Benchmarking in LLM Multi-Agent Systems,Pablo Mateo-Torrejón; Alfonso Sánchez-Macián,2026,arXiv preprint,10.48550/arXiv.2604.24477,https://arxiv.org/abs/2604.24477,arXiv v1; no archival venue verified,verified_preprint,core_security,core_security,It directly benchmarks detection and containment of compromised nodes in LLM MAS communication graphs.,evaluation,benchmark,evaluation architecture; reproduction framework; defense comparison,"yes: attributed communication graphs, live debate rounds, graph anomaly detectors, and node isolation are inherently multi-agent",attack_bearing_benchmark_preprint,uses compromised-node attack scenarios but proposes no new attack primitive,yes for the benchmark's attack generation and remediation conditions,compromised communicating member node,send adversarial debate messages that steer peers and prolong deliberation,"observable attributed graph, benchmark-generated attack labels, live rounds, and authority to isolate flagged nodes",malicious messages alter neighborhood reasoning; graph detectors identify nodes and dynamically remove them,inter-agent messages; graph neighborhoods; topology; remediation controller,collective answer integrity and resource-efficiency degradation,wrong consensus and higher token cost; successful early isolation can restore integrity and shorten adversarial deliberation,varies by generated graph configuration; exact ranges require full-PDF signoff,"chain, tree, and random debate topologies in the note; framework claims broader topology generation",multi-round debate captured as attributed interaction graphs,XG-Guard and BlindGuard plus undefended configurations,"agent/task accuracy, ASR, malicious-node detection performance, token cost, and execution efficiency",task-run and agent/node instances generated by the framework; exact dataset sizes and split denominators require PDF signoff,yes for benchmark-defined collective answer and cost outcomes,arXiv abstract; architecture Figure 2; training-data-generation and defense-benchmarking sections; main result tables,Authors explicitly state that GAMMAF is not a new defense. Coding node isolation as containment and graph visibility as a defense assumption is corpus interpretation.,"Preprint; synthetic interactions, limited tasks and defense set, benchmark-specific attack generator, and no evidence for open membership or tool-rich workflows.","Primary category must be benchmark/evaluation, not defense. Separate detection quality from recovered task utility and token cost. Record exact graph sizes and denominators before quantitative synthesis.",ready_after_major_patch,yes: common-contract evidence for graph-defense comparability,assistant_source_reviewed_pending_author_signoff
96,cross_category,rahman2026harp,HARP: Measuring Harm Amplification in Multi-Agent LLM Systems,Md Hafizur Rahman; Zafaryab Haider; Tanzim Mahfuz; Prabuddha Chakraborty,2026,arXiv preprint,10.48550/arXiv.2605.27489,https://arxiv.org/abs/2605.27489,arXiv v1; no archival venue verified,verified_preprint,core_security,core_security,The paper explicitly targets adversarial local-to-global harm amplification in a seven-agent LLM system.,evaluation,benchmark,evaluation methodology; attack harness; reference defense evaluation,"yes: paired traces quantify how a bounded local perturbation is reused across agents, tools, shared context, memory, and a decision gate",confirmed_attack_bearing_preprint,evaluates four threat regimes rather than introducing one standalone attack,"yes: separate specialist compromise, collusion, shared-context corruption, temporal persistence, and memory persistence","compromised specialist member, colluding members, or attacker controlling shared context/memory","alter specialist outputs, coordinate small deviations, corrupt shared evidence, and trigger delayed or persistent perturbations","paired clean/perturbed executions under the same database seed, deterministic decision gate, trace oracle, and full event instrumentation","local deviations are routed, reused, reinforced, or persisted until they produce broader trace-level harm",specialist outputs; tools; shared context; memory; router; guard events; deterministic decision gate,propagation and compromise-containment failure with downstream action/decision integrity impact,"local and global harm diverge; different threat regimes maximize amplification, ASR, or malicious impact",seven specialist agents plus router and decision-engine nodes in the implementation,router-coordinated specialist workflow with required pre-check chains,"structured specialist outputs, shared evidence, memory reads/writes, tools, and decision-gate inputs",paired clean runs; no defense; prompt sandwiching; LlamaFirewall; ToolSafe; IntegrityGuard,ASR; safe and malicious impact; local harm; global harm; harm amplification H_global/H_local; stealth; benign utility; latency; normalized token cost,"paired query traces over 12 scenarios and five defense settings; local harm is over targeted components, global harm over all participating agents/events","yes within the controlled finance workflow: final decisions, tool/memory events, and full-trace deviations are checked",arXiv abstract and lines 104-124 of HTML; methodology sections 3.1-3.2; Tables 1 and 3-5; trace and metric definitions,The local/global harm ratio and regime-specific results are author claims. Treating HARP as evidence that all MAS amplify harm would be overgeneralization.,"Preprint; one finance architecture, synthetic/resettable state, custom rule plus AI observers, selected harms, deterministic gate, and clean/perturbed oracle dependence.","Primary category benchmark/evaluation. Keep ASR, malicious impact, global harm, and amplification separate. Do not compare HARP's ratio with population infection metrics. State seven specialists precisely rather than generic 'seven-agent workflow' if router/gate counting matters.",ready_after_major_patch,yes: headline metric-contract and local-to-global amplification evidence,assistant_source_reviewed_pending_author_signoff
97,cross_category,olson2026liecraft,LieCraft: A Multi-Agent Framework for Evaluating Deceptive Capabilities in Language Models,Matthew Lyle Olson; Neale Ratzlaff; Musashi Hinck; Tri Nguyen; Vasudev Lal; Joseph Campbell; Simon Stepputtis; Shao-Yen Tseng,2026,AAAI 2026,10.1609/aaai.v40i44.41116,https://ojs.aaai.org/index.php/AAAI/article/view/41116,Published AAAI 2026 version,verified_published,security_relevant,security_relevant,"It measures deception capability and peer detection in controlled games, but the malicious objective is assigned by the benchmark rather than arising from a deployment attack.",evaluation,benchmark,evaluation; behavioral capability study,"yes: private roles, communication, accusation, and collective game outcomes require interacting players",assigned_role_adversarial_evidence,not an attack proposal; evaluates induced defector behavior,no standalone attack instance; code deception conditions and outcomes,in-game defector with a private conflicting objective,"communicate strategically, misrepresent intent, conceal role, and take game actions","hidden-role game engine, known role ground truth, balanced scenario generation, and explicit incentives",strategic deception manipulates other agents' beliefs and accusation decisions,private role; natural-language communication; game actions; collective accusation,collective decision integrity under strategic deception,"defection, successful deception, missed detection, or outcomes favoring the defector",scenario-specific multi-player games; exact player counts vary and require table-level signoff,game-defined all-player or role-mediated interaction rather than general graph topologies,natural-language hidden-role deliberation and action,12 LLMs evaluated on identical scenarios and role conditions,"defection propensity, deception skill/success, accusation accuracy, and TrueSkill",game/role/scenario instances across ten scenarios; denominators differ across behavioral axes,yes for game outcomes; not evidence of real-world attack prevalence,"AAAI published paper, framework and evaluation sections, scenario table, main results tables, pp. 37802-37809",Authors explicitly measure three behavioral axes. Coding the work as security_relevant rather than core attack evidence is corpus interpretation.,"Peer reviewed, but game framing, assigned objectives, scenario effects, and absence of deployment tools/authority limit external validity.","Primary category benchmark/evaluation, not attack. Separate propensity to defect, skill at deception, and peer detection. Do not describe induced game behavior as spontaneous collusion.",ready_after_minor_patch,no: useful adjacent benchmark but not central systems-security evidence,assistant_source_reviewed_pending_author_signoff
98,cross_category,jia2026masfire,MAS-FIRE: Fault Injection and Reliability Evaluation for LLM-Based Multi-Agent Systems,Jin Jia; Zhiling Deng; Zhuangbin Chen; Yingqi Wang; Zibin Zheng,2026,arXiv preprint,10.48550/arXiv.2602.19843,https://arxiv.org/abs/2602.19843,arXiv v1; no archival venue verified,verified_preprint,adjacent,adjacent,The primary object is reliability under synthetic faults; security relevance arises only when the injection is adversarial.,evaluation,benchmark,evaluation; fault-injection methodology,"yes: controlled semantic faults are injected at agents or interaction points and tracked through downstream propagation, masking, and recovery",nonadversarial_fault_evidence,not an attack paper unless a malicious injection claim is separately coded,no for general benchmark; yes only for routing-manipulation or adversarial fault instances,fault-injection harness; no required strategic attacker,"modify prompts, rewrite responses, or manipulate routing at selected interaction points","known injection site, semantic fault library, full trace and task oracle","hallucination, instruction misinterpretation, or reasoning drift is injected and then propagated, masked, or recovered",agent prompt; response; routing; inter-agent messages,"workflow reliability, propagation, and recovery failure",faults can be catastrophic in some linear workflows and neutralized by iterative closed-loop designs,architecture-specific; exact counts require PDF signoff,three architecture families according to the paper; exact labels/counts require signoff,unstructured natural-language messages with controlled prompt/response/routing injections,clean runs; end-to-end success evaluation; architecture comparisons,"task success/robustness, propagation, masking, and recovery measures",fault-run and downstream-agent/step events; exact 15-fault-type and architecture denominators require table-level verification,"yes for benchmark-defined reliability outcomes, not necessarily adversarial security impact",arXiv abstract; framework and fault-library sections; main propagation/recovery tables; exact pages require signoff,"Authors explicitly present a reliability benchmark. Treating fault propagation as attack evidence requires an explicit adversarial threat model, which is corpus interpretation.","Preprint; synthetic faults, chosen tasks/frameworks, oracle dependence, and no strategic adaptive attacker.","Change scope from security attack to adjacent reliability benchmark. Do not label all fault injection as malicious. Separate propagation, masking, and recovery metrics from final task success.",ready_after_major_patch,"yes: boundary and recovery-measurement evidence, but mark adjacent",assistant_source_reviewed_pending_author_signoff
99,cross_category,gonzalez2026multimodalsafety,Multimodal Safety Evaluation in Generative Agent Social Simulations,Alhim Adonai Vera Gonzalez; Carlos Hinojosa; Karen Sanchez; Haidar Bin Hamid; Donghoon Kim; Bernard Ghanem,2026,ACL 2026,10.18653/v1/2026.acl-long.1915,https://aclanthology.org/2026.acl-long.1915/,Published ACL 2026 version,verified_published,adjacent,adjacent,The work is situational safety evaluation without a capability-bearing adversary; security relevance is indirect.,evaluation,benchmark,evaluation; social-simulation dataset,"yes: multiple generative agents share a social environment and unsafe multimodal context influences plans, dialogue, reflection, and actions",nonadversarial_safety_evidence,not an attack paper,no,none; unsafe scenarios and misleading visual cues are injected by the evaluation harness,not applicable,"simulated social environment, labeled unsafe plans/actions, multimodal cues, and safety annotators","unsafe or misleading context persists through planning, conversation, memory, reflection, and action",initial plan; image; conversation; memory; reflection; shared environment,interaction-amplified situational safety failure,"unsafe plans are sometimes corrected, but misleading visuals still lead to unsafe action acceptance","five agents in the reported social simulation, with repeated runs; verify exact run design from final paper tables",shared social environment rather than an explicit comparative graph-topology study,repeated social conversation plus multimodal perception and shared state,safe versus unsafe plans; text-only versus multimodal conditions,"SocialMetrics for unsafe-plan revision, acceptance, and execution of unsafe actions","1,000 multimodal plans and more than 600,000 simulation steps; plan-level and action-level rates are different denominators",yes for labeled simulation actions; not a security attack outcome,"ACL paper Abstract, sections 3-4, Figure 1, main results tables, pp. 41295-41310",Authors report 55% correction of unsafe plans and 45% unsafe action acceptance under misleading visual cues. Coding as adjacent rather than core security is corpus interpretation.,"Peer reviewed but simulation-only, no strategic attacker, label dependence, five-agent setting, and uncertain transfer to deployed tool systems.",Primary category benchmark/evaluation. Keep plan correction and action acceptance denominators separate. Do not use as evidence of adversarial MAS attacks.,ready_after_minor_patch,"no: useful safety boundary evidence, not central security claim",assistant_source_reviewed_pending_author_signoff
100,cross_category,dong2026pear,PEAR: Planner-Executor Agent Robustness Benchmark,Shen Dong; Mingxuan Zhang; Pengfei He; Li Ma; Bhavani Thuraisingham; Hui Liu; Yue Xing,2026,Findings of EACL 2026,10.18653/v1/2026.findings-eacl.237,https://aclanthology.org/2026.findings-eacl.237/,Published Findings of EACL 2026 version; withdrawn earlier arXiv version excluded,verified_published,core_security,core_security,Role-targeted prompt injection directly tests security of a two-agent planner-executor architecture.,evaluation,benchmark,evaluation; attack-bearing study,"yes: planner and executor are separately instrumented roles whose communication, memory, and delegated authority determine attack effects",confirmed_attack_bearing,evaluates planner- and executor-targeted attacks rather than proposing a general new primitive,"yes: planner target, executor target, and memory conditions should be separate claims",external or contextual injector targeting planner-facing or executor-facing input,insert role-specific malicious instructions and influence shared memory/context,"separable planner and executor roles, instrumentable memory, and outcome oracle",prompt injection corrupts plan formation or action execution depending on role position,planner input; planner-executor message; executor input; memory; tool execution,delegated plan and action integrity failure,role-dependent attack success and a utility-robustness trade-off,two roles: one planner and one executor,fixed two-role planner-executor pipeline,plan delegation from planner to executor with controlled memory conditions,planner-targeted versus executor-targeted attacks; memory ablations; multiple backbones; benign utility,task utility and role-specific attack/robustness outcomes; exact paper terminology should be preserved,task-run under role/attack/memory condition,yes for final delegated workflow outcomes in the benchmark,"Findings EACL Abstract, sections 3-4, Figure 1, main tables, pp. 4547-4567",Authors explicitly show role and memory dependence. Generalizing to arbitrary MAS topologies is not supported.,"Peer reviewed; only two roles, benchmark tool tasks, selected models, role-specific injection, and no open membership.",Primary category benchmark/evaluation. State one planner plus one executor. Do not call role position a graph topology result. Keep withdrawn arXiv out of canonical counts.,ready_after_minor_patch,yes: clean architecture/attack-position evidence,assistant_source_reviewed_pending_author_signoff
101,cross_category,jiang2026risklab,RiskLab: A Controlled Toolkit for Probing Emergent Risks in LLM-Based Multi-Agent Systems,Yu Jiang; Wenjie Wang; Yue Huang; Yanbo Wang; Zhenhong Zhou; Xiuying Chen; Yang Liu; Pin-Yu Chen; Wei Wang; Xiangliang Zhang,2026,ACL 2026 System Demonstrations,10.18653/v1/2026.acl-demo.17,https://aclanthology.org/2026.acl-demo.17/,Published ACL 2026 system demonstration,verified_published_demo,security_relevant,security_relevant,"It probes collusion, resource overreach, drift, and strategic misreporting, but includes broad emergent risk and reliability concerns beyond adversarial security.",evaluation,system_demo,evaluation toolkit; benchmark infrastructure,"yes: the toolkit makes topology, environment, protocol, agents, tasks, and global trajectories configurable",mixed_risk_probe_evidence,"not one attack paper; scenario modules may instantiate malicious, self-interested, or faulty behavior",yes only at individual probe/claim level,"scenario-dependent malicious, self-interested, or faulty member","configured through roles, incentives, protocols, topology, and environment conditions","controlled scenario oracle, full trajectory logging, and explicit experiment quintuple","scenario modules induce or reveal interaction-dependent collusion, resource overreach, semantic drift, or strategic misreporting",topology; protocol; incentives; agent roles; environment; task,"mixed collective integrity, resource control, and reliability failures",trajectory-grounded risk signals vary under independently configurable structural conditions,user-configurable; no single canonical population,user-configurable as one element of topology-environment-protocol-agent-task model,protocol-configurable with global trajectory logging,clean configurations and alternative structural settings,risk-specific trajectory-grounded measures plus task outcomes,scenario/trajectory/module dependent; no single universal denominator,"yes for implemented controlled probes, not for deployment prevalence","ACL demo Abstract, sections 2-4, Figure 1, pp. 167-177",Authors explicitly define the five-part experiment model and four probes. Treating the toolkit as comprehensive security coverage would be overreach.,"Peer-reviewed system demo; controlled abstractions, scenario-oracle dependence, implemented modules only, and limited evidence about real systems.","Primary category system demonstration/evaluation, not attack. Do not aggregate four probe families into one risk metric. Keep security-relevant scope rather than blanket core security.",ready_after_minor_patch,yes: architecture-variable and trajectory-observation framework,assistant_source_reviewed_pending_author_signoff
102,cross_category,kavathekar2026tamas,TAMAS: Benchmarking Adversarial Risks in Multi-Agent LLM Systems,Ishan Kavathekar; Hemang Jain; Ameya Rathod; Ponnurangam Kumaraguru; Tanuja Ganu,2026,ACL 2026,10.18653/v1/2026.acl-long.1442,https://aclanthology.org/2026.acl-long.1442/,Published ACL 2026 version,verified_published,security_relevant,core_security,"The benchmark explicitly measures adversarial confidentiality, integrity, availability, tool, identity, and execution failures in LLM MAS.",evaluation,benchmark,evaluation; attack suite,"yes: attacks are evaluated across centralized, decentralized, and sequential LLM MAS configurations with routing, trust, and tools",confirmed_attack_bearing,benchmarks six attack types rather than proposing a single new attack,yes: each attack/domain/configuration claim should be separate,malicious user or external content source; scenario-dependent impersonator/tool attacker,"direct/indirect prompt injection, impersonation, information theft, malicious code execution, and denial of service through benchmark interfaces","AutoGen/CrewAI configurations, scenario tool environment, benchmark-defined attack access, and task evaluators","scenario-specific adversarial instructions exploit routing, authority, identity, and tool trust",user prompt; external content; identities; tool interface; inter-agent workflow,"workflow confidentiality, action integrity, and availability failure",attack success and benign task effectiveness vary materially by model and interaction configuration,scenario/configuration-specific; do not infer from number of configurations,"centralized orchestrator, decentralized collaboration, and sequential collaboration",framework-specific agent messaging and tool-mediated workflow,single-agent where provided; three MAS configurations; ten LLMs; benign tasks,"Attack Success Rate, Task Success Rate, and Effective Robustness Score combining resistance and effectiveness",300 adversarial instances and 100 harmless tasks across five domains/six attack types; ERS is benchmark-specific,yes for benchmark-defined harmful or failed workflow outcomes,"ACL Abstract, section 5/5.1, Table 3 and results tables, pp. 31238-31268",Authors explicitly report benchmark scale and ERS. Treating ERS as a general MAS robustness metric is unsupported.,"Peer reviewed; selected frameworks, tools, models, domains, static configurations, and final-outcome-heavy observation.","Primary category benchmark/evaluation. Change scope to core security. Preserve separate ASR, TSR, and ERS definitions. Do not infer population propagation from task-level ASR.",ready_after_minor_patch,yes: broad benchmark and metric-contract anchor,assistant_source_reviewed_pending_author_signoff
103,cross_category,liu2026valueflow,ValueFlow: Measuring the Propagation of Value Perturbations in Multi-Agent LLM Systems,Jinnuo Liu; Chuke Liu; Hua Shen,2026,arXiv preprint,10.48550/arXiv.2602.08567,https://arxiv.org/abs/2602.08567,arXiv v2; no archival venue verified,verified_preprint,security_relevant,security_relevant,The work audits value propagation and collective susceptibility but uses controlled perturbations without a deployment adversary.,evaluation,evaluation,benchmark; measurement framework,yes: a node-level value perturbation is measured through downstream messages and final system outputs under varied roles and topologies,controlled_perturbation_evidence,not an observed attack paper,no attack instance; code perturbation/evaluation conditions,evaluation harness perturbs a selected agent's value signal,alter node-level value-expressive output,downstream agents observe upstream outputs; value questions and judge protocol define measurement,controlled value signal propagates through messages and changes downstream/final responses,inter-agent messages; role position; communication topology,collective value/objective integrity perturbation,"susceptibility varies by value, model, role, node position, and topology",configuration-dependent; exact populations require table-level signoff,"chain, tree, star, mesh, and two-layer fully connected configurations according to the current arXiv text",agents condition on prior value-expressive outputs,"unperturbed systems; alternate node positions; models, personas, and topology conditions",beta-susceptibility at agent level and system susceptibility at final-output level,56 values and 560 questions; node/agent and final-system measurements are separate units,yes for controlled final-output changes; no deployment attack or real consequence,"arXiv Abstract, sections 2-5, Table 1, Figures 2 and 4-7",Authors explicitly separate agent and system susceptibility. Coding it as objective-integrity evidence rather than a security attack is corpus interpretation.,"Preprint; controlled perturbations, LLM judge, value-set construction, selected topologies/models, and no strategic attacker.","Primary category evaluation/benchmark, not attack. Keep agent susceptibility and system susceptibility separate. Scope should remain security-relevant rather than core attack evidence.",ready_after_minor_patch,"yes: local-versus-global measurement example, with maturity caveat",assistant_source_reviewed_pending_author_signoff
104,cross_category,allegrini2025formalizing,"Formalizing the Safety, Security, and Functional Properties of Agentic AI Systems",Edoardo Allegrini; Ananth Shreekumar; Z. Berkay Celik,2025,arXiv preprint,10.48550/arXiv.2510.14133,https://arxiv.org/abs/2510.14133,arXiv v2; no archival publication verified,verified_preprint,core_security,security_relevant,It formalizes cross-protocol safety/security properties but is broader than LLM-MAS security and includes agent-tool composition.,general,theoretical_framework,position paper; formal system model,"yes, but mixed boundary: the model covers a host agent, external tools through MCP, peer agents through A2A, and task-lifecycle composition",no_empirical_attack_evidence,not an attack paper,no,malicious or misconfigured protocol participant/tool in illustrative properties,"exploit semantic or lifecycle mismatches across host, tool, and A2A composition",implementation behavior is faithfully represented by the host-agent and task-lifecycle models,cross-protocol semantic mismatch causes isolated properties to fail under composition,host-agent orchestration; MCP tool access; A2A coordination; task lifecycle,"cross-protocol safety, security, liveness, completeness, or fairness invariant violation","formal examples expose coordination edge cases, deadlocks, and security/property failures",not a fixed empirical population,formal host/tool/peer-agent composition rather than benchmarked graph topologies,modeled MCP and A2A interactions plus task lifecycle transitions,isolated protocol analyses; no empirical benchmark baseline,formal property satisfaction; 17 host-agent and 14 task-lifecycle properties according to the arXiv abstract,"property/model instance, not task-run ASR",formal/model-level only; no empirical system-impact prevalence,"arXiv Abstract; formal model and property sections, pp. 3-8 in the corpus note; property definitions and architecture figure",Authors explicitly define two models and temporal-logic properties. Treating this as evidence that deployed systems violate them is unsupported.,"Preprint; abstraction fidelity, opaque LLM semantics, evolving protocols, no broad implementation study, and mixed MCP/A2A scope.",Change primary category from generic general/core-security to theoretical framework with security-relevant scope. Record 31 formal properties precisely. Do not treat formal expressiveness as empirical attack or defense coverage.,ready_after_major_patch,"yes: system-model and global-property vocabulary anchor, not empirical evidence",assistant_source_reviewed_pending_author_signoff
105,cross_category,bellay2025safesystems,Safe Systems with Unsafe Agents: Challenges and Opportunities,Jeremy Bellay; J. Timothy Balint; Stephen A. Boxwell; Jeffrey Geppert,2025,AAMAS 2025 Blue Sky Ideas,,https://www.ifaamas.org/Proceedings/aamas2025/pdfs/p2849.pdf,"Published AAMAS 2025 Blue Sky paper, pp. 2849-2853",verified_published_position,adjacent,adjacent,It is a conceptual system-safety agenda rather than an LLM-specific technical security study.,general,position_paper,theoretical perspective; systems-safety agenda,yes: the thesis concerns system-level safety despite unsafe or unreliable members,no_attack_evidence,not an attack paper,no,"conceptual unsafe, faulty, or adversarial member",produce unsafe local actions or messages,system architecture can mediate consequential actions and enforce global constraints,unsafe local behavior enters collective execution but may be contained by architecture,agent composition; coordination; system constraints,global mission/safety invariant violation despite local component assumptions,conceptual failure and defense agenda; no measured impact,not applicable,conceptual heterogeneous multiagent systems,not empirically specified,local-agent alignment framing,none,not applicable,no empirical verification,"AAMAS official proceedings, Blue Sky section, pp. 2849-2853; main thesis throughout",The system-level thesis is explicit. Mapping it to the SoK's property-based taxonomy is corpus interpretation.,"Peer-reviewed Blue Sky/position paper; no implementation, attack corpus, metric, or benchmark.",Use full canonical title with ': Challenges and Opportunities'. Preserve adjacent status. Never count it as evaluated defense coverage.,ready_after_minor_patch,no: conceptual support only,assistant_source_reviewed_pending_author_signoff
106,cross_category,hu2025responsibility,Stop Reducing Responsibility in LLM-Powered Multi-Agent Systems to Local Alignment,Jinwei Hu; Yi Dong; Shuang Ao; Zhuoyun Li; Boxuan Wang; Lokesh Singh; Guangliang Cheng; Sarvapali D. Ramchurn; Xiaowei Huang,2025,arXiv preprint,10.48550/arXiv.2510.14008,https://arxiv.org/abs/2510.14008,arXiv v2; no archival venue verified,verified_preprint,security_relevant,security_relevant,The position paper includes adversarial vulnerability and global oversight but is primarily responsible-AI/governance theory.,general,position_paper,theoretical framework; governance perspective,"yes: responsibility is explicitly framed as a lifecycle-wide collective property over agreement, uncertainty, and security",no_empirical_attack_evidence,not an attack paper,no,conceptual adversarial member or ordinary interaction failure,"exploit disagreement, cascading uncertainty, and weak local controls",global agreement and responsibility variables can be observed or verified,locally aligned decisions compose into globally irresponsible or insecure outcomes,coordination; agreement; uncertainty propagation; governance and oversight,"collective objective, agreement, and accountability failure",conceptual lifecycle risks; no measured attack outcome,not applicable,conceptual LLM-MAS,not empirically specified,local alignment framing,none,not applicable,no empirical verification,"arXiv Abstract; framework sections on agreement, uncertainty, security, and governance",The global-responsibility thesis is explicit. Mapping it to objective-integrity and observer-scope categories is corpus interpretation.,"Preprint position paper; no controlled security evaluation, no attack denominator, and broad normative constructs.","Keep as general/position related work, not attack or defense evidence. Do not cite as empirical proof of collective drift prevalence.",ready_after_minor_patch,"no: useful framing, not load-bearing empirical evidence",assistant_source_reviewed_pending_author_signoff
107,cross_category,anbiaee2026protocols,"Security Threat Modeling for Emerging AI-Agent Protocols: A Comparative Analysis of MCP, A2A, Agora, and ANP",Zeynab Anbiaee; Mahdi Rabbani; Mansur Mirani; Gunjan Piya; Igor Opushnyev; Ali Ghorbani; Sajjad Dadkhah,2026,arXiv preprint,10.48550/arXiv.2602.11327,https://arxiv.org/abs/2602.11327,arXiv v2; no archival venue verified,verified_preprint,core_security,security_relevant,"Protocol security is directly relevant, but the four-protocol corpus is not exclusively multiagent and includes a tool protocol.",general,threat_modeling_study,survey; comparative analysis; measurement case study,"mixed: A2A, Agora, and ANP are cross-agent protocols, while MCP is primarily agent-to-tool/server and serves as a comparator",protocol_threat_model_and_case_study,not a new attack paper; catalogs threats and includes a measurement-driven MCP validation/attestation case study,yes only for the empirical wrong-provider execution case study; no for the qualitative risk matrix,"malicious agent, server, tool, intermediary, or external attacker depending on protocol lifecycle","spoof, tamper, replay, abuse discovery, escalate privilege, disclose data, or deny service",protocol specifications/implementations expose modeled lifecycle states; MCP case assumes multi-server resolver policies,"protocol lifecycle and trust-assumption weaknesses break identity, integrity, authorization, or availability",discovery; authentication; session establishment; messages; delegation; tools; update lifecycle,"protocol identity, authorization, integrity, confidentiality, and availability failure",qualitative twelve-risk matrix plus empirical wrong-provider tool execution in MCP composition,not fixed; protocol-level analysis,protocol-specific client/server/peer ecosystem structures,"MCP, A2A, Agora, and ANP protocol messages and lifecycle transitions",comparative threat/risk matrix; resolver policies in the MCP case study,qualitative likelihood/impact/overall risk; case-study wrong-provider execution rate,protocol/risk item and MCP resolution trial; exact empirical denominator requires table-level signoff,partly: qualitative threats are modeled; MCP case study empirically validates one claim,arXiv Abstract; protocol architecture and comparison sections; twelve-risk tables; MCP measurement case study,Authors explicitly present systematic protocol analysis and a measurement case. Classifying MCP as mixed rather than pure MAS is corpus interpretation.,"Preprint; fast-changing specifications, selected implementations, one measurement case, qualitative scoring subjectivity, and mixed agent-tool/agent-agent scope.","Primary category is threat modeling/comparative study, not attack. Downgrade blanket core-MAS scope to security-relevant mixed scope. Add the measurement-driven MCP case study omitted from the current note.",ready_after_major_patch,yes: protocol-surface and assumption model anchor,assistant_source_reviewed_pending_author_signoff
108,cross_category,yu2025trustworthyagents,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,Miao Yu; Fanci Meng; Xinyun Zhou; Shilong Wang; Junyuan Mao; Linsey Pang; Tianlong Chen; Kun Wang; Xinfeng Li; Yongfeng Zhang; Bo An; Qingsong Wen,2025,KDD 2025,10.1145/3711896.3736561,https://doi.org/10.1145/3711896.3736561,"Published KDD 2025 paper, pp. 6216-6226; arXiv preprint is supporting full text",verified_published_metadata_patch,security_relevant,security_relevant,"The survey covers MAS, but it is not interaction-primary and includes broad trustworthiness dimensions.",survey,survey,taxonomy; related-work comparator,partial: MAS and other agents are an extrinsic module in a broader trustworthy-agent component framework,survey_only,not an attack paper; primary attacks must be cited directly,no,varies across surveyed work,varies across intrinsic and extrinsic threats,heterogeneous source-paper assumptions,varies,brain; memory; tools; users; peer agents; environment,"broad safety, robustness, privacy, fairness, and trustworthiness failures","taxonomy and research agenda, not one empirical impact",not applicable,varies across surveyed studies,varies,prior trustworthy-LLM and agent surveys,literature/taxonomy coverage; no unified attack metric,"survey papers/citations, not attack runs",not applicable,Published KDD paper taxonomy/framework sections and taxonomy figure; pp. 6216-6226,Authors explicitly split intrinsic and extrinsic trustworthiness. Calling peer-agent interaction secondary rather than primary is comparative corpus interpretation.,"Peer reviewed but only 11 pages, broad trustworthiness scope, heterogeneous evidence, and no claim-level MAS metric/assumption audit.","Correct author spelling from Linsey Pan to Linsey Pang. Keep survey as related work, not primary attack evidence. Do not count all cited papers as MAS security corpus.",ready_after_major_patch,yes: closest broad trustworthy-agent survey comparator,assistant_source_reviewed_pending_author_signoff
